experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_efficientnetb6_mlp,A,mlp,6,308,34,665856,8,0.8529411764705882,0.8648648648648649,0.8648648648648649,0.8387096774193549,0.85178727114211,0.8529411764705882,0.7171371656006361,13,4,1,16,0.7647058823529411,0.9411764705882352,0.9285714285714286,0.8,0.8944636678200691,0.1582055889884941,35.230040546972305,0.0451244519790634
a_efficientnetb6_logistic,A,logistic,6,308,34,665856,8,0.8529411764705882,0.8484848484848485,0.8484848484848485,0.8571428571428571,0.8528138528138528,0.8529411764705882,0.7071067811865476,15,2,3,14,0.8823529411764706,0.8235294117647058,0.8333333333333334,0.875,0.9515570934256056,0.1582055889884941,2.8302334710024297,0.0402343440218828
a_efficientnetb6_random_forest,A,random_forest,6,308,34,665856,8,0.8235294117647058,0.8,0.8,0.8421052631578947,0.8210526315789474,0.8235294117647058,0.6657502859356826,16,1,5,12,0.9411764705882352,0.7058823529411765,0.7619047619047619,0.9230769230769232,0.92560553633218,0.1582055889884941,4.23792757402407,0.016344107047189
a_efficientnetb6_adaboost,A,adaboost,6,308,34,665856,8,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8529411764705882,0.7071067811865476,14,3,2,15,0.8235294117647058,0.8823529411764706,0.875,0.8333333333333334,0.9134948096885812,0.1582055889884941,587.2717879840056,0.348173926002346
a_efficientnetb6_gaussian_nb,A,gaussian_nb,6,308,34,665856,8,0.7941176470588235,0.7741935483870968,0.7741935483870968,0.8108108108108109,0.7925021795989537,0.7941176470588236,0.5976143046671968,15,2,5,12,0.8823529411764706,0.7058823529411765,0.75,0.8571428571428571,0.7941176470588236,0.1582055889884941,0.44926853798097,0.1176257799961604
a_efficientnetb6_decision_tree,A,decision_tree,7,308,34,665856,8,0.7647058823529411,0.75,0.75,0.7777777777777778,0.7638888888888888,0.7647058823529411,0.533113989983183,14,3,5,12,0.8235294117647058,0.7058823529411765,0.7368421052631579,0.8,0.7647058823529411,0.1572067940142005,42.32654215802904,0.00707189302193
a_efficientnetb6_rbf_svm,A,rbf_svm,7,308,34,665856,8,0.7058823529411765,0.7222222222222222,0.7222222222222222,0.6875,0.7048611111111112,0.7058823529411764,0.4146442144313646,11,6,4,13,0.6470588235294118,0.7647058823529411,0.7333333333333333,0.6842105263157895,0.7923875432525951,0.1572067940142005,11.917261234018952,4.74954109697137
a_efficientnetb6_linear_svm,A,linear_svm,7,308,34,665856,8,0.8235294117647058,0.8421052631578947,0.8421052631578947,0.8,0.8210526315789474,0.8235294117647058,0.6657502859356826,12,5,1,16,0.7058823529411765,0.9411764705882352,0.9230769230769232,0.7619047619047619,0.8615916955017301,0.1572067940142005,12.476355304999744,1.9933911809930576
a_efficientnetb6_mlp,A,mlp,7,308,34,665856,8,0.7941176470588235,0.8,0.8,0.7878787878787878,0.793939393939394,0.7941176470588235,0.5892556509887896,13,4,3,14,0.7647058823529411,0.8235294117647058,0.8125,0.7777777777777778,0.8408304498269896,0.1572067940142005,21.72908005397767,0.0489805050310678
a_efficientnetb6_logistic,A,logistic,7,308,34,665856,8,0.7941176470588235,0.8108108108108109,0.8108108108108109,0.7741935483870968,0.7925021795989537,0.7941176470588236,0.5976143046671968,12,5,2,15,0.7058823529411765,0.8823529411764706,0.8571428571428571,0.75,0.8339100346020761,0.1572067940142005,2.632681353017688,0.0321981139713898
a_efficientnetb6_random_forest,A,random_forest,7,308,34,665856,8,0.7352941176470589,0.7428571428571429,0.7428571428571429,0.7272727272727273,0.7350649350649351,0.7352941176470589,0.4714045207910317,12,5,4,13,0.7058823529411765,0.7647058823529411,0.75,0.7222222222222222,0.828719723183391,0.1572067940142005,4.078149988024961,0.0161875559715554
a_efficientnetb6_adaboost,A,adaboost,7,308,34,665856,8,0.7941176470588235,0.8,0.8,0.7878787878787878,0.793939393939394,0.7941176470588235,0.5892556509887896,13,4,3,14,0.7647058823529411,0.8235294117647058,0.8125,0.7777777777777778,0.8200692041522492,0.1572067940142005,587.3139828619896,0.3658478520228527
a_efficientnetb6_gaussian_nb,A,gaussian_nb,7,308,34,665856,8,0.6764705882352942,0.6666666666666666,0.6666666666666666,0.6857142857142857,0.6761904761904762,0.6764705882352942,0.3535533905932738,12,5,6,11,0.7058823529411765,0.6470588235294118,0.6666666666666666,0.6875,0.676470588235294,0.1572067940142005,0.4482555210124701,0.1177370980149135
a_efficientnetb6_decision_tree,A,decision_tree,8,308,34,665856,8,0.5882352941176471,0.5625,0.5625,0.6111111111111112,0.5868055555555556,0.5882352941176471,0.1777046633277277,11,6,8,9,0.6470588235294118,0.5294117647058824,0.5789473684210527,0.6,0.588235294117647,0.1582534050103277,46.46566244598944,0.0069769459660165
a_efficientnetb6_rbf_svm,A,rbf_svm,8,308,34,665856,8,0.9705882352941176,0.9696969696969696,0.9696969696969696,0.9714285714285714,0.9705627705627706,0.9705882352941176,0.9428090415820634,17,0,1,16,1.0,0.9411764705882352,0.9444444444444444,1.0,0.9896193771626296,0.1582534050103277,12.058741414977703,4.880456478975248
a_efficientnetb6_linear_svm,A,linear_svm,8,308,34,665856,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,0,17,1.0,1.0,1.0,1.0,1.0,0.1582534050103277,12.891787861008195,2.1876273489906453
a_efficientnetb6_mlp,A,mlp,8,308,34,665856,8,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9567474048442908,0.1582534050103277,58.915377310011536,0.046647902985569
a_efficientnetb6_logistic,A,logistic,8,308,34,665856,8,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,1.0,0.1582534050103277,2.655860192026012,0.0409850750002078
a_efficientnetb6_random_forest,A,random_forest,8,308,34,665856,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,0,17,1.0,1.0,1.0,1.0,1.0,0.1582534050103277,4.210372416011524,0.0162747330032289
a_efficientnetb6_adaboost,A,adaboost,8,308,34,665856,8,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9584775086505192,0.1582534050103277,587.6775451169815,0.3526575600262731
a_efficientnetb6_gaussian_nb,A,gaussian_nb,8,308,34,665856,8,0.8529411764705882,0.8484848484848485,0.8484848484848485,0.8571428571428571,0.8528138528138528,0.8529411764705882,0.7071067811865476,15,2,3,14,0.8823529411764706,0.8235294117647058,0.8333333333333334,0.875,0.8529411764705882,0.1582534050103277,0.4510667419526726,0.1177876280271448
a_efficientnetb6_decision_tree,A,decision_tree,9,308,34,665856,8,0.6470588235294118,0.6666666666666666,0.6666666666666666,0.625,0.6458333333333333,0.6470588235294118,0.2961744388795461,10,7,5,12,0.5882352941176471,0.7058823529411765,0.6666666666666666,0.631578947368421,0.6470588235294118,0.1589576650294475,46.0952394210035,0.0069331900449469
a_efficientnetb6_rbf_svm,A,rbf_svm,9,308,34,665856,8,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8529411764705882,0.7071067811865476,14,3,2,15,0.8235294117647058,0.8823529411764706,0.875,0.8333333333333334,0.9480968858131488,0.1589576650294475,13.206226192996835,4.761544851004146
a_efficientnetb6_linear_svm,A,linear_svm,9,308,34,665856,8,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8529411764705882,0.7071067811865476,14,3,2,15,0.8235294117647058,0.8823529411764706,0.875,0.8333333333333334,0.9238754325259516,0.1589576650294475,12.884006351989228,2.210893524985295
a_efficientnetb6_mlp,A,mlp,9,308,34,665856,8,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14,3,0,17,0.8235294117647058,1.0,1.0,0.85,0.9152249134948096,0.1589576650294475,29.58238278701901,0.0479210939956828
a_efficientnetb6_logistic,A,logistic,9,308,34,665856,8,0.8529411764705882,0.8571428571428571,0.8571428571428571,0.8484848484848485,0.8528138528138528,0.8529411764705882,0.7071067811865476,14,3,2,15,0.8235294117647058,0.8823529411764706,0.875,0.8333333333333334,0.930795847750865,0.1589576650294475,2.790130611974746,0.0369431399740278
